Name	UniProt_IDs	dIntensity_cPathogen_eMean_oVoronoiCells_nZScore	dIntensity_cLatePathogen_eMean_oVoronoiCells_nZScore	eCount_oCells_nZScore
LGALS3BP	B4DVE1	1.2871896273342622	-0.1863340907161137	-0.47024387221338093
LGALS3BP	Q08380	1.2871896273342622	-0.1863340907161137	-0.47024387221338093
LGALS4	P56470	0.5368954472806639	-0.10391095921918264	0.03343372079780341
LGALS4	Q6FHZ4	0.5368954472806639	-0.10391095921918264	0.03343372079780341
LGALS7B	P47929	-0.7711368896977484	-0.7254134596821011	0.3955800039697945
LGALS8	E9PN19	0.3946170704752142	-0.37476595423084763	-1.5692466143678026
LGALS8	F6V2D4	0.3946170704752142	-0.37476595423084763	-1.5692466143678026
LGALS8	O00214	0.3946170704752142	-0.37476595423084763	-1.5692466143678026
LGALS8	Q59E97	0.3946170704752142	-0.37476595423084763	-1.5692466143678026
LGALS9	B3KWW5	0.642356998459764	-0.25883290531638886	-0.08777131469861466
LGALS9	J3KT17	0.642356998459764	-0.25883290531638886	-0.08777131469861466
LGALS9	J3QR96	0.642356998459764	-0.25883290531638886	-0.08777131469861466
LGALS9	O00182	0.642356998459764	-0.25883290531638886	-0.08777131469861466
LGALS9B	B3KWW5	0.7294532256155926	-0.8034937969398666	0.35376412493300435
LGALS9B	Q3B8N2	0.7294532256155926	-0.8034937969398666	0.35376412493300435
LGALS9C	B3KWW5	0.1751648324213403	-2.2848167576900185	-0.5068300817589395
LGALS9C	B4DKP4	0.1751648324213403	-2.2848167576900185	-0.5068300817589395
LGALS9C	J3KSY2	0.1751648324213403	-2.2848167576900185	-0.5068300817589395
LGALS9C	J3QR96	0.1751648324213403	-2.2848167576900185	-0.5068300817589395
LGALS9C	Q6DKI2	0.1751648324213403	-2.2848167576900185	-0.5068300817589395
LGALSL	Q3ZCW2	0.19846214128970815	0.662734036585338	-0.7734234105589495
